word,n
stuck,133
surprised,133
trial,133
advice,132
approach,132
brothers,132
buying,132
feature,132
greater,132
london,132
pack,132
plants,132
pull,132
talked,132
address,131
al,131
artists,131
authorities,131
boston,131
delicious,131
digital,131
fighting,131
flight,131
foundation,131
jim,131
rates,131
serving,131
shirt,131
spokesman,131
western,131
century,130
christian,130
easter,130
excellent,130
festival,130
firm,130
names,130
opinion,130
plant,130
returned,130
benefit,129
cast,129
gods,129
headed,129
miami,129
organization,129
possibly,129
prepared,129
rule,129
scott,129
shots,129
shout,129
thousands,129
baltimore,128
beauty,128
labor,128
martin,128
pair,128
patients,128
prison,128
provided,128
target,128
tells,128
arts,127
becomes,127
bob,127
businesses,127
celebrate,127
copy,127
degree,127
direction,127
efforts,127
happening,127
holy,127
laugh,127
matt,127
mouth,127
museum,127
powerful,127
purchase,127
september,127
specific,127
stars,127
theyve,127
whom,127
yea,127
begins,126
closer,126
ff,126
francisco,126
funding,126
jack,126
meal,126
nobody,126
option,126
pink,126
seasons,126
seattle,126
selling,126
soft,126
successful,126
wed,126
bet,125
charge,125
da,125
damage,125
dropped,125
earned,125
enter,125
location,125
nations,125
ny,125
pages,125
path,125
quiet,125
restaurants,125
senate,125
yards,125
bridge,124
shut,124
streets,124
wondering,124
worlds,124
carry,123
claim,123
commission,123
compared,123
filed,123
fill,123
memory,123
noticed,123
published,123
purpose,123
scheduled,123
february,122
forced,122
fund,122
golf,122
hopes,122
kansas,122
losing,122
measure,122
mission,122
moments,122
ourselves,122
physical,122
pro,122
steve,122
towards,122
battle,121
changing,121
covered,121
debate,121
discuss,121
dm,121
justin,121
magic,121
neighborhood,121
neither,121
pool,121
signs,121
werent,121
airport,120
aside,120
bread,120
chinese,120
continues,120
cooking,120
faces,120
flowers,120
gun,120
highly,120
images,120
jump,120
majority,120
managed,120
mountain,120
offered,120
paint,120
push,120
setting,120
source,120
writer,120
alive,119
anywhere,119
brings,119
creating,119
designed,119
features,119
frank,119
honor,119
horse,119
joy,119
menu,119
michigan,119
mobile,119
strength,119
surprise,119
tournament,119
window,119
congress,118
ends,118
everyday,118
exchange,118
guest,118
hits,118
host,118
kinda,118
literally,118
miller,118
placed,118
pulled,118
southern,118
tim,118
wins,118
arms,117
assistant,117
august,117
caused,117
draw,117
fellow,117
handle,117
investigation,117
junior,117
promise,117
sea,117
somewhere,117
television,117
tho,117
uk,117
vegas,117
yard,117
yay,117
bike,116
colors,116
ladies,116
offers,116
otherwise,116
primary,116
rice,116
animal,115
districts,115
european,115
global,115
guard,115
nyc,115
peter,115
wind,115
appears,114
claims,114
democrats,114
fly,114
hitting,114
legs,114
mary,114
necessary,114
random,114
readers,114
remains,114
rip,114
rise,114
thx,114
ugh,114
waste,114
activities,113
appeared,113
civil,113
concerned,113
cry,113
denver,113
described,113
loud,113
meaning,113
produce,113
smoke,113
somehow,113
speech,113
stores,113
theater,113
trees,113
active,112
basic,112
code,112
countries,112
demand,112
diego,112
doors,112
extremely,112
improve,112
influence,112
jackson,112
massive,112
row,112
shouldnt,112
significant,112
somebody,112
thus,112
treat,112
unfortunately,112
writers,112
younger,112
actual,111
alcohol,111
apart,111
authority,111
exercise,111
expensive,111
forgot,111
highest,111
honestly,111
kevin,111
lights,111
material,111
politics,111
pounds,111
protect,111
resources,111
slightly,111
standard,111
suddenly,111
terrible,111
v,111
variety,111
vehicle,111
zone,111
background,110
charles,110
cities,110
feb,110
films,110
l,110
lately,110
options,110
posts,110
ppl,110
republicans,110
schedule,110
woke,110
wood,110
construction,109
direct,109
fruit,109
hed,109
october,109
advantage,108
afraid,108
attempt,108
birth,108
bunch,108
considering,108
doctors,108
dozen,108
era,108
europe,108
milk,108
sucks,108
teach,108
usual,108
victims,108
agreement,107
awards,107
criminal,107
discussion,107
drama,107
female,107
herself,107
pray,107
shared,107
soup,107
balance,106
decisions,106
em,106
ending,106
honest,106
lie,106
moms,106
multiple,106
pan,106
produced,106
rep,106
request,106
admit,105
anybody,105
appear,105
comfortable,105
division,105
flat,105
friendly,105
gorgeous,105
illegal,105
